Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 16:59:44,3sq66wle,15178530,Version1-raw,19,audio started,1503.6000000001804,Audio Clip,2,73,[MONO] HSS_fada_analyzable.mp3
17/02/2026 16:59:45,3sq66wle,15178530,Version1-raw,19,no-se.png,2811.899999999994,No se,3,73,[MONO] HSS_fada_analyzable.mp3
17/02/2026 16:59:47,3sq66wle,15178530,Version1-raw,20,audio started,1504.799999999901,Audio Clip,2,50,[MONO] HSS145_cuaderno_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:48,3sq66wle,15178530,Version1-raw,20,o.png,2444.799999999901,O,2,50,[MONO] HSS145_cuaderno_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:49,3sq66wle,15178530,Version1-raw,21,audio started,1521.2000000002736,Audio Clip,2,64,[MONO] ASI142_trenza_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:50,3sq66wle,15178530,Version1-raw,21,a.png,2514.899999999994,A,1,64,[MONO] ASI142_trenza_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 16:59:52,3sq66wle,15178530,Version1-raw,22,audio started,1520.0000000000873,Audio Clip,2,49,[MONO] HSS138_regalo_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:53,3sq66wle,15178530,Version1-raw,22,o.png,2478.799999999901,O,2,49,[MONO] HSS138_regalo_nonalt_unanalyzable_v_raw.mp3
17/02/2026 16:59:54,3sq66wle,15178530,Version1-raw,23,audio started,1503.7999999999884,Audio Clip,2,69,[MONO] HSS_sato_analyzable.mp3
17/02/2026 16:59:55,3sq66wle,15178530,Version1-raw,23,o.png,2749.899999999994,O,2,69,[MONO] HSS_sato_analyzable.mp3
17/02/2026 16:59:57,3sq66wle,15178530,Version1-raw,24,audio started,1519.2000000001863,Audio Clip,2,47,[MONO] ASI132_camisa_nonalt_analyzable_v-less_raw.mp3
17/02/2026 16:59:58,3sq66wle,15178530,Version1-raw,24,a.png,2666.7999999999884,A,1,47,[MONO] ASI132_camisa_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:00:01,3sq66wle,15178530,Version1-raw,25,audio started,1520.2000000002736,Audio Clip,2,21,[MONO] HSS113_plato_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:02,3sq66wle,15178530,Version1-raw,25,o.png,3049.7000000000116,O,2,21,[MONO] HSS113_plato_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:04,3sq66wle,15178530,Version1-raw,26,audio started,1521.1999999998952,Audio Clip,2,94,[MONO] HSS_kecha_unanalyzable2.mp3
17/02/2026 17:00:05,3sq66wle,15178530,Version1-raw,26,a.png,2624.1000000002678,A,1,94,[MONO] HSS_kecha_unanalyzable2.mp3
17/02/2026 17:00:06,3sq66wle,15178530,Version1-raw,27,audio started,1520.3999999999069,Audio Clip,2,65,[MONO] HSS_fado_analyzable.mp3
17/02/2026 17:00:08,3sq66wle,15178530,Version1-raw,27,o.png,2848.7000000001863,O,2,65,[MONO] HSS_fado_analyzable.mp3
17/02/2026 17:00:09,3sq66wle,15178530,Version1-raw,28,audio started,1503.400000000198,Audio Clip,2,4,[MONO] ASI128_cocinero_analyzable_v_raw.mp3
17/02/2026 17:00:10,3sq66wle,15178530,Version1-raw,28,o.png,2180.2000000000116,O,2,4,[MONO] ASI128_cocinero_analyzable_v_raw.mp3
17/02/2026 17:00:11,3sq66wle,15178530,Version1-raw,29,audio started,1520.1000000001804,Audio Clip,2,55,[MONO] ASI142_sapo_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:12,3sq66wle,15178530,Version1-raw,29,o.png,2183.100000000006,O,2,55,[MONO] ASI142_sapo_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:13,3sq66wle,15178530,Version1-raw,30,audio started,1519.3999999999942,Audio Clip,2,26,[MONO] HSS113_raya_alt_unanalyzable_v_raw.mp3
17/02/2026 17:00:15,3sq66wle,15178530,Version1-raw,30,a.png,2933.399999999965,A,1,26,[MONO] HSS113_raya_alt_unanalyzable_v_raw.mp3
17/02/2026 17:00:16,3sq66wle,15178530,Version1-raw,31,audio started,1514.7000000000116,Audio Clip,2,53,[MONO] HSS143_zapato_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:17,3sq66wle,15178530,Version1-raw,31,o.png,2246.400000000198,O,2,53,[MONO] HSS143_zapato_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:19,3sq66wle,15178530,Version1-raw,32,audio started,1521.3999999999942,Audio Clip,2,84,[MONO] HSS_bleno_unanalyzable4.mp3
17/02/2026 17:00:20,3sq66wle,15178530,Version1-raw,32,o.png,2980.399999999994,O,2,84,[MONO] HSS_bleno_unanalyzable4.mp3
17/02/2026 17:00:22,3sq66wle,15178530,Version1-raw,33,audio started,1522.400000000198,Audio Clip,2,48,[MONO] ASI132_artista_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:00:23,3sq66wle,15178530,Version1-raw,33,a.png,2649.9000000000233,A,1,48,[MONO] ASI132_artista_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:00:24,3sq66wle,15178530,Version1-raw,34,audio started,1507.799999999901,Audio Clip,2,91,[MONO] ASI_noga_unanalyzable1.mp3
17/02/2026 17:00:26,3sq66wle,15178530,Version1-raw,34,no-se.png,2882.1000000001804,No se,3,91,[MONO] ASI_noga_unanalyzable1.mp3
17/02/2026 17:00:27,3sq66wle,15178530,Version1-raw,35,audio started,1520.6000000001804,Audio Clip,2,72,[MONO] ASI_nijo_analyzable.mp3
17/02/2026 17:00:29,3sq66wle,15178530,Version1-raw,35,no-se.png,3046.6000000001804,No se,3,72,[MONO] ASI_nijo_analyzable.mp3
17/02/2026 17:00:30,3sq66wle,15178530,Version1-raw,36,audio started,1520.799999999901,Audio Clip,2,67,[MONO] ASI_bleno_analyzable.mp3
